publication,hasIdentifier,identifier
publication,orderedCreators,orderedCreators
publication,yearOfEvent,year
publication,sameAs,sameAs
author,label,label
publication,authoredBy,author
publication,bibtexType,bibtexType
author,type,rdfType
publication,listedOnTocPage,TocPage
publication,publishedInJournalVolumeIssue,VolumeIssue
publication,primaryElectronicEdition,edition
publication,title,title
author,primaryFullCreatorName,name
publication,numberOfCreators,number
publication,doi,doi
publication,publishedInJournalVolume,volume
author,orcid,orcid
publication,archivedElectronicEdition,edition
author,primaryHomepage,webpage
publication,otherElectronicEdition,edition
publication,wikidata,wikidatalink
author,primaryAffiliation,affiliation
publication,pagination,pagination
publication,publishedInJournal,journal
author,wikipedia,wikipediaLink
author,otherHomepage,webpage
author,otherAffiliation,affiliation
publication,publishedAsPartOf,publication
author,webpage,webpage
author,otherFullCreatorName,name
publication,monthOfPublication,month
author,differentFrom,differentFrom
publication,publicationNote,note
author,awardWebpage,webpage
author,creatorNote,note
author,archivedWebpage,archivedWebpage
publication,isbn,isbn
publication,editedBy,author
publication,publishedBy,publisher
publication,publishedInSeries,series
publication,publishedInSeriesVolume,publishedInSeriesVolume
publication,yearOfPublication,yearOfEvent
publication,type,rdf
publication,publishedInBook,book
publication,publishedIn,venue
